text,category,priority
passport verification pending at Basti thana for 2 weeks,Police (Home Dept),Low
ganda paani nalo se aa raha hai Prayagraj City area me,Sanitation & Water (Jal Nigam/Nagar Nigam),High
talaab par kabza ho raha hai Gram Kachhona gaon mein,Rural Development (Panchayati Raj),Medium
mobile phone snatched while walking in Gonda City,Police (Home Dept),Medium
stray cattle destroying crops in Village Chhata farms,Rural Development (Panchayati Raj),Medium
"road caved in due to heavy rain in Mau Tehsil, traffic blocked",Roads (PWD/NHAI),High
need a sign board direction for Mau Tehsil village,Roads (PWD/NHAI),Low
water pipeline leakage wasting water in Gonda City,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
frequent power cuts in Sitapur One is affecting exam preparation,Electricity (UPPCL),Medium
doctor refused to treat critical patient in Raebareli Market phc,Health (Medical),High
solar panel subsidy ki jankari chahiye Gram Kachhona ke liye,Electricity (UPPCL),Low
"primary school roof is leaking in Mau Tehsil, dangerous for kids",Rural Development (Panchayati Raj),Medium
ganda paani nalo se aa raha hai Raebareli Market area me,Sanitation & Water (Jal Nigam/Nagar Nigam),High
long waiting line for opd registration in Tehsil Bikapur,Health (Medical),Low
encroachment by shopkeepers on road in Post Kakori,Roads (PWD/NHAI),Medium
public toilet tap is dripping in Gonda City,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
transformer caught fire in Tehsil Bikapur and oil is leaking,Electricity (UPPCL),High
stray cattle destroying crops in Gram Kachhona farms,Rural Development (Panchayati Raj),Medium
mnrega ka paisa nahi mila Gram Kachhona mein,Rural Development (Panchayati Raj),High
x-ray machine kharab hai Bareilly Cantt mein,Health (Medical),Medium
birth certificate spelling correction request at Gram Kachhona,Health (Medical),Low
"ambulance nahi aa rahi Hardoi City mein, patient serious hai",Health (Medical),High
"flood water entered village houses in Village Chhata, need rescue",Rural Development (Panchayati Raj),High
"handpump kharab hai Hazratganj, Lucknow mein",Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
park needs cleaning in Tehsil Bikapur residential area,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
zebra crossing repaint kara do Gonda City chowk par,Roads (PWD/NHAI),Low
"general query about filing fir online for Sigra, Varanasi resident",Police (Home Dept),Low
"loudspeaker shor kar raha hai Civil Lines, Kanpur mein raat ko",Police (Home Dept),Medium
garbage truck not coming to Village Chhata for last 3 days,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
meter reading galat hai Orai wale ghar ki,Electricity (UPPCL),Medium
meter reading galat hai Etawah Main wale ghar ki,Electricity (UPPCL),Medium
phone chori ho gaya Prayagraj City market me,Police (Home Dept),Medium
mnrega ka paisa nahi mila Mau Tehsil mein,Rural Development (Panchayati Raj),High
"birth certificate spelling correction request at Hazratganj, Lucknow",Health (Medical),Low
stray cattle destroying crops in Gram Panchayat Bojhi farms,Rural Development (Panchayati Raj),Medium
unhygienic toilets in the Hardoi City government hospital,Health (Medical),Medium
"road caved in due to heavy rain in Orai, traffic blocked",Roads (PWD/NHAI),High
ladayi ho rahi hai Unnao City chourahe par,Police (Home Dept),High
road construction incomplete in Gonda City,Roads (PWD/NHAI),Medium
bijli ka bill bahut jyada aaya hai Gram Kachhona mein,Electricity (UPPCL),Medium
sadak par bada gadda hai Tehsil Bikapur market ke paas,Roads (PWD/NHAI),High
low voltage problem in Post Kakori during evening hours,Electricity (UPPCL),Medium
"flood water entered village houses in Tehsil Bikapur, need rescue",Rural Development (Panchayati Raj),High
fake medicine racket operating in Raebareli Market medical stores,Health (Medical),High
stray cattle destroying crops in Gram Panchayat Bojhi farms,Rural Development (Panchayati Raj),Medium
sadak toot gayi hai Remote area of Sonbhadra mein,Roads (PWD/NHAI),Medium
birth certificate spelling correction request at Block Malihabad,Health (Medical),Low
"vaccine kab lagega Gomti Nagar, Lucknow center par?",Health (Medical),Low
handpump kharab hai Gonda City mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
oxygen cylinder available nahi hai Gram Panchayat Bojhi hospital me,Health (Medical),High
footpath tiles broken in some places at Hardoi City,Roads (PWD/NHAI),Low
poore gaon mein light nahi hai Post Kakori mein pichle 2 din se,Electricity (UPPCL),High
oxygen cylinder available nahi hai Meerut City hospital me,Health (Medical),High
low voltage problem in Gram Kachhona during evening hours,Electricity (UPPCL),Medium
armed robbery in shop at Ghaziabad market last night,Police (Home Dept),High
"primary school roof is leaking in Village Chhata, dangerous for kids",Rural Development (Panchayati Raj),Medium
"meter name change application pending in Sigra, Varanasi",Electricity (UPPCL),Low
"chori ho gayi hai Village Rampur mein, police bhejo",Police (Home Dept),High
internet nahi chal raha Block Malihabad panchayat bhavan me,Rural Development (Panchayati Raj),Low
meter name change application pending in Gram Kachhona,Electricity (UPPCL),Low
"loudspeaker shor kar raha hai Hazratganj, Lucknow mein raat ko",Police (Home Dept),Medium
loudspeaker shor kar raha hai Ghaziabad mein raat ko,Police (Home Dept),Medium
meter name change application pending in Tehsil Bikapur,Electricity (UPPCL),Low
frequent power cuts in Village Basrehar is affecting exam preparation,Electricity (UPPCL),Medium
"ambulance nahi aa rahi Remote area of Sonbhadra mein, patient serious hai",Health (Medical),High
street light pole looking tilted in Barabanki Town,Electricity (UPPCL),Low
library books request for Gram Panchayat Bojhi village school,Rural Development (Panchayati Raj),Low
"public toilet tap is dripping in Hazratganj, Lucknow",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
" मच्छर बहुत हो गए हैं Gram Kachhona में, फॉगिंग करवाओ",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
mobile phone snatched while walking in Basti,Police (Home Dept),Medium
fake medicine racket operating in Prayagraj City medical stores,Health (Medical),High
footpath tiles broken in some places at Block Malihabad,Roads (PWD/NHAI),Low
"road caved in due to heavy rain in Ghaziabad, traffic blocked",Roads (PWD/NHAI),High
